time_spent_as_hub_by_molID (ns),time_spent_in_t10_clique_by_molID (ns)
3,38
11,66
3,36
1,39
3,41
10,52
0,31
4,31
8,34
62,57
3,42
19,41
3,35
5,52
18,66
0,28
53,60
16,47
14,40
13,38
1,44
7,26
0,41
0,27
3,52
13,73
7,48
2,37
1,41
0,40
3,39
1,33
7,26
14,51
13,52
26,60
2,43
8,38
4,39
2,34
20,58
7,48
38,46
4,54
24,42
0,44
9,46
0,39
17,43
3,50
1,36
1,39
7,44
6,57
37,80
2,30
0,33
11,63
76,57
36,72
3,41
10,56
26,42
9,48
0,50
1,47
5,69
1,45
1,62
1,41
0,52
23,62
6,47
0,37
0,51
0,50
1,51
4,56
0,50
10,75
2,77
0,45
4,74
17,79
2,63
2,49
18,43
7,62
9,74
4,57
5,65
2,57
5,56
42,101
4,59
0,38
2,47
1,41
0,56
2,52
0,50
0,66
17,107
18,62
14,67
0,56
0,54
5,82
6,70
4,45
25,74
9,77
32,74
25,62
2,65
5,59
12,80
5,82
0,46
1,44
11,84
1,69
2,60
14,74
17,76
22,75
7,73
0,51
3,40
3,50
4,67
0,64
7,72
0,63
0,50
10,66
5,59
19,82
19,89
11,67
14,54
1,54
1,68
19,78
8,74
2,48
23,98
32,73
36,93
17,94
11,68
1,71
22,67
2,65
6,88
0,51
5,63
9,75
3,84
8,84
11,70
17,74
12,58
9,76
3,72
10,75
27,80
1,59
8,81
7,59
27,96
7,86
0,64
5,55
25,102
5,70
4,62
11,90
25,76
4,54
11,83
1,52
18,57
2,72
1,56
67,121
12,73
2,73
0,62
1,46
6,54
4,78
2,74
4,76
19,73
9,74
12,89
22,82
2,86
4,76
0,79
2,61
39,91
0,54
7,88
5,77
0,58
5,48
11,65
7,76
8,72
0,58
21,81
3,51
15,99
14,87
