A1-LCD-hub-timefreq-normalized,FUS-LCD-hub-timefreq-normalized,EWSR1-LCD-hub-timefreq-normalized,TIA1-LCD-hub-timefreq-normalized
0.085,0.055,0.035,0.05
0.04,0.02,0.005,0.005
0.03,0.06,0.175,0.045
0.09,0.04,0,0.055
0.045,0.095,0.01,0.075
0.045,0.035,0.02,0.025
0.06,0.005,0.03,0.06
0.05,0.085,0.02,0.04
0.02,0.03,0.01,0.045
0.055,0.02,0.07,0.05
0.05,0.16,0.01,0.02
0.065,0.075,0.005,0.05
0.02,0.04,0.015,0.015
0.035,0.125,0.125,0.03
0.035,0.045,0.045,0.065
0.035,0.055,0.03,0.04
0.07,0.025,0.015,0.05
0.005,0.02,0.035,0.075
0.075,0.045,0,0.06
0.04,0.02,0.01,0.03
0.04,0.04,0.02,0.09
0.025,0.05,0.05,0.035
0.02,0.125,0.01,0.04
0.005,0.05,0.075,0.025
0.025,0.01,0.01,0.015
0.04,0.05,0.02,0.075
0.08,0.05,0.03,0.055
0.1,0.055,0.11,0.035
0.04,0.085,0.015,0.06
0.085,0.065,0.025,0.035
0.1,0.015,0.08,0.03
0.03,0.015,0.015,0.055
0.08,0.02,0.01,0.05
0.035,0.045,0.005,0.025
0.03,0.07,0.015,0.04
0,0.02,0,0.045
0.075,0.04,0.05,0.075
0.005,0.04,0.025,0.06
0.045,0.025,0.045,0.02
0.095,0.045,0.015,0.05
0.065,0.035,0.03,0.04
0.045,0.06,0,0.055
0.09,0.025,0.09,0.005
0.02,0.025,0.06,0.05
0.065,0.02,0.06,0.045
0.07,0.08,0.075,0.065
0.025,0.04,0.015,0.06
0.085,0.065,0.005,0.06
0.04,0.015,0.035,0.04
0.025,0.04,0.04,0.07
0.055,0.02,0.02,0.035
0.07,0.01,0.03,0.015
0.02,0.065,0.105,0.04
0.02,0.03,0.03,0.025
0.05,0.015,0.005,0.04
0.04,0.075,0.16,0.035
0.01,0.075,0.14,0.04
0.07,0.025,0.03,0.05
0.045,0.045,0.11,0.035
0.015,0.02,0.04,0.015
0.05,0.035,0,0.08
0.065,0.07,0.1,0.045
0.09,0.055,0,0.065
0.035,0.03,0,0.02
0.055,0.025,0.02,0.05
0.045,0.015,0.055,0.03
0.005,0.04,0.1,0.02
0.04,0.1,0,0.03
0.04,0.045,0.075,0.03
0.105,0.08,0.035,0.07
0.04,0.02,0.14,0.055
0.09,0.145,0.295,0.055
0.065,0.025,0.025,0.065
0.105,0.035,0.035,0.055
0.015,0.075,0.015,0.025
0.03,0.07,0.005,0.05
0.045,0.04,0.045,0.06
0.045,0.08,0.04,0.03
0.03,0.015,0,0.07
0.065,0.065,0.005,0.05
0.03,0.06,0,0.06
0.05,0.025,0.03,0.1
0.035,0.08,0.025,0.035
0.02,0.045,0.005,0.045
0.085,0.015,0.06,0.035
0.065,0.045,0.035,0.055
0.06,0.085,0.015,0.04
0.02,0.075,0.095,0.065
0.045,0.045,0.225,0.075
0.025,0.055,0.03,0.07
0.07,0.02,0.01,0.055
0.035,0.07,0.105,0.02
0.01,0.035,0,0.025
0.03,0.055,0.08,0.07
0.045,0.065,0.09,0.02
0.055,0.005,0.01,0.05
0.075,0.015,0,0.06
0.065,0.12,0.115,0.055
0.015,0.01,0.01,0.02
0.04,0.015,0.005,0.025
0.065,0,0.015,0.03
0.075,0.035,0.01,0.04
0.03,0.025,0.02,0.04
0.065,0.07,0.075,0.04
0.05,0.03,0.03,0.04
0.095,0.04,0.13,0.03
0.06,0.08,0.03,0.04
0.06,0.02,0,0.04
0.005,0.02,0.07,0.055
0.04,0.095,0.025,0.045
0.05,0.035,0.025,0.04
0.11,0.065,0.075,0.025
0.01,0.055,0.04,0.02
0.005,0.03,0.185,0.07
0.02,0.04,0.045,0.04
0.03,0.035,0.07,0.02
0.015,0.06,0.025,0.005
0.015,0.07,0.04,0.085
0.02,0.02,0.105,0.05
0.03,0.015,0,0.055
0.04,0.03,0.04,0.05
0.035,0.025,0.09,0.05
0.06,0.07,0.02,0.035
0.06,0.03,0.06,0.05
0.045,0.03,0.12,0.045
0.015,0.04,0.005,0.03
0.045,0.03,0.005,0.025
0.02,0.04,0.01,0.075
0.025,0.025,0.01,0.07
0.03,0.025,0.035,0.09
0.025,0.02,0,0.055
0.03,0.015,0.025,0.03
0.035,0.065,0.02,0.085
0.035,0.055,0.005,0.05
0.045,0.075,0.005,0.05
0.05,0.06,0.03,0.06
0.11,0.065,0.015,0.045
0.025,0.025,0,0.05
0.045,0.11,0.115,0.03
0.08,0.04,0.15,0.06
0.025,0.05,0.125,0.025
0.06,0.065,0.01,0.04
0.04,0.05,0,0.06
0.025,0.105,0,0.04
0.08,0.015,0,0.03
0.02,0.065,0.005,0.03
0.03,0.075,0.005,0.035
0.065,0.035,0.09,0.025
0.08,0.09,0.01,0.055
0.045,0.05,0.02,0.075
0.025,0.01,0.005,0.03
0.025,0.02,0.165,0.08
0.04,0.045,0.005,0.05
0.03,0.03,0.01,0.05
0.04,0.07,0.14,0.045
0.045,0.025,0,0.045
0.065,0.035,0.235,0.05
0.08,0.04,0.075,0.025
0.045,0.07,0.27,0.03
0.065,0,0.125,0.04
0.015,0.025,0.04,0.05
0.02,0.03,0.005,0.035
0.03,0.045,0.015,0.06
0.085,0.075,0.07,0.03
0.03,0.045,0.115,0.05
0.025,0.01,0.015,0.08
0.065,0.04,0.01,0.05
0.055,0.015,0.035,0.07
0.08,0.03,0.255,0.05
0.04,0.125,0.02,0.04
0.015,0.095,0.035,0.05
0.02,0.045,0.125,0.025
0.06,0.015,0.015,0.03
0.095,0.025,0.085,0.07
0.035,0.025,0.01,0.02
0.04,0.02,0.01,0.03
0.04,0.11,0.01,0.055
0.05,0,0.01,0.035
0.05,0.07,0.035,0.035
0.03,0.03,0.005,0.1
0.045,0.08,0.02,0.025
0.04,0.07,0.14,0.065
0.02,0.015,0.02,0.07
0.075,0.035,0.22,0.035
0.045,0.05,0.01,0.06
0.055,0.045,0.03,0.02
0.02,0.035,0,0.075
0.105,0.035,0.005,0.04
0.085,0.07,0.105,0.03
0.07,0.055,0.085,0.1
0.01,0.02,0.02,0.025
0.035,0.02,0.045,0.035
0.06,0.075,0.12,0.035
0.02,0.03,0.065,0.065
0.05,0.04,0.005,0.045
0.025,0.04,0.025,0.07
0.02,0.01,0.055,0.04
0.09,0.04,0.025,0.02
0.055,0.08,0.095,0.05
0.01,0.03,0.055,0.01
0.06,0.025,0.01,0.06
0.09,0.055,0.02,0.06
0.07,0.055,0.06,0.045
0.025,0.085,0.025,0.025
0.045,0.06,0.1,0.02
0.065,0.035,0.115,0.045
0.085,0.05,0.005,0.05
0.02,0.055,0.005,0.035
0.05,0.095,0.015,0.08
0.05,0.04,0.005,0.04
0.04,0.03,0.025,0.075
0.075,0.07,0.12,0.045
0.04,0.04,0.015,0.085
0.025,0.03,0.005,0.085
0.015,0.04,0.035,0.085
0.03,0.065,0,0.025
