A1-LCD-clique-rcom-normalized,FUS-LCD-clique-rcom-normalized,EWSR1-LCD-clique-rcom-normalized,TIA1-LCD-clique-rcom-normalized
0.224177135,0.124293855,0.169122856,0.197961559
0.310911461,0.298106575,0.253735919,0.225013064
0.139029169,0.290131082,0.238502953,0.225434014
0.168112218,0.283554056,0.319561722,0.23506845
0.240225873,0.299938393,0.329577073,0.880701932
0.150194205,0.144362604,0.290531321,0.225427702
0.089826916,0.14002913,0.141379776,0.24023116
0.232096877,0.137918965,0.305766825,0.222093404
0.225972092,0.220581809,0.091693195,0.219753218
0.250291138,0.22791926,0.294425043,0.425760659
0.263513039,0.288845278,0.250363093,0.190737999
0.214698635,0.24015969,0.258697854,0.758463499
0.241051369,0.283303778,0.205268753,0.184691351
0.265377671,0.265591475,0.244517703,0.214012524
0.27607253,0.321060894,0.256306407,0.200028696
0.389133259,0.070025505,0.178139776,0.199934576
0.273868997,0.271678281,0.337464125,0.68090616
0.231670903,0.255601073,0.292856715,0.67782265
0.364019017,0.182359632,0.235683386,0.15915842
0.158637024,0.360312386,0.158691099,0.152497147
0.242436233,0.287149463,0.210391749,0.244446062
0.327862389,0.148910333,0.21198874,0.678703834
0.302170552,0.259851479,0.307751788,0.256775968
0.131112549,0.166578933,0.245290669,0.17660477
0.248817889,0.127989267,0.279649698,0.134491756
0.214357336,0.242605671,0.197117519,0.163133995
0.1843804,0.287793857,0.182845789,0.693618564
0.255577497,0.35212071,0.254847831,0.181073161
0.257041644,0.232434538,0.224120582,0.061213876
0.272025006,0.320685177,0.237403665,0.238250941
0.139926931,0.280178175,0.344956421,0.143226273
0.222918975,0.268285479,0.136716908,0.20727376
0.262689789,0.14394047,0.252674918,0.221956165
0.145618633,0.106857939,0.226440985,0.21041563
0.105064919,0.09653105,0.211131772,0.275313022
0.316330182,0.102415799,0.314361606,0.136851633
0.232918054,0.152144509,0.313807471,0.31317147
0.25983148,0.159438631,0.203444913,0.137386977
0.219942411,0.330171255,0.248806025,0.066260938
0.210575444,0.328939529,0.309865451,0.295666116
0.270269914,0.194311306,0.23939475,0.141677686
0.272284158,0.100525853,0.277788532,0.284957797
0.155786967,0.180159258,0.238625017,0.213633245
0.201038608,0.286546985,0.264242083,0.209927177
0.30206838,0.247131811,0.185701397,0.123379891
0.286463871,0.171464765,0.200454819,0.193371582
0.37278379,0.261954844,0.323890747,0.129986532
0.144645635,0.231697445,0.279061973,0.225024759
0.168353542,0.124971018,0.224839524,0.190381849
0.185381506,0.191378822,0.23252446,0.129549927
0.239368694,0.196450681,0.301184916,0.336898082
0.344218204,0.240142223,0.297113639,0.233083464
0.352235617,0.206457133,0.217923238,0.307749034
0.225218333,0.297122745,0.243454179,0.095063261
0.202857311,0.268923669,0.278444395,0.770164708
0.318757336,0.301901195,0.201732172,0.137982781
0.193212045,0.302223705,0.30725404,0.27267475
0.247158439,0.433199373,0.286009321,0.290764785
0.120739428,0.378647138,0.327717914,0.187243087
0.138485799,0.313966987,0.306216692,0.289815313
0.233207532,0.238711278,0.307282499,0.263317175
0.188594648,0.171975062,0.233474293,0.099432087
0.174613401,0.432460349,0.273230928,0.102493691
0.173531521,0.354097248,0.180996075,0.788957529
0.218316037,0.273822786,0.309676912,0.185159885
0.211961889,0.310299258,0.289056138,0.171617104
0.225589961,0.093591576,0.272243168,0.132770921
0.285560346,0.24930143,0.272291116,0.118604208
0.362632149,0.222372322,0.287630255,0.07424061
0.151339256,0.318636673,0.060910915,0.250141166
0.237324078,0.213920232,0.243709433,0.28935842
0.133253881,0.226611169,0.26309145,0.124377219
0.166674961,0.276522105,0.224507508,0.130125037
0.194376166,0.210681808,0.316352772,0.299783465
0.229016162,0.214224999,0.307653507,0.197937015
0.355380915,0.29409266,0.327808393,0.090914425
0.220278864,0.272769927,0.260667721,0.25021387
0.251914101,0.380879031,0.252183831,0.266633151
0.189231604,0.303932392,0.088736203,0.237214281
0.23711061,0.189167796,0.194652909,0.296130399
0.227989396,0.262645286,0.244029222,0.13300172
