S4Yx30-clique-timefreq-normalized,S9Yx15-clique-timefreq-normalized,S12Y3x10-clique-timefreq-normalized,S24Y6x5-clique-timefreq-normalized,S120Y30-clique-timefreq-normalized,Sc_S4Yx30-clique-timefreq-normalized,SSYx50-clique-timefreq-normalized,YSx75-clique-timefreq-normalized,Yx150-clique-timefreq-normalized,YYSx50-clique-timefreq-normalized
0.005,0,0.005,0.185,0,0.145,0.03,0.015,0.025,0.035
0.03,0.015,0.095,0.16,0.35,0.115,0.01,0.035,0.02,0.04
0.045,0.02,0.085,0.16,0.075,0.13,0.01,0.01,0.03,0.01
0.02,0.025,0.08,0.19,0.49,0.11,0.01,0.005,0.03,0.04
0.035,0.05,0.07,0.105,0.525,0.19,0.045,0.015,0.025,0.03
0.055,0.02,0.035,0.075,0.16,0.09,0.05,0.07,0.02,0.07
0.025,0.01,0.075,0,0.02,0.095,0.025,0.03,0.03,0.035
0.015,0.025,0.05,0.09,0,0.145,0.01,0.01,0.045,0.03
0.01,0.03,0.02,0.29,0.105,0.15,0.005,0.035,0.025,0.025
0.035,0.055,0.02,0.15,0.07,0.125,0.02,0.005,0.015,0.035
0.005,0.03,0.075,0.135,0.375,0.16,0.015,0.005,0.025,0.03
0.03,0.01,0.08,0.36,0.15,0.145,0.04,0.005,0.04,0.045
0,0.04,0.025,0.32,0,0.085,0.02,0.005,0.045,0.015
0.045,0.005,0.005,0.14,0,0.14,0.035,0.04,0.03,0.015
0.035,0.04,0.045,0.185,0.145,0.125,0.02,0.065,0.065,0.035
0.005,0.025,0.075,0.265,0,0.135,0.03,0.035,0.025,0.04
0.02,0.01,0.085,0.2,0.37,0.04,0.015,0.015,0.015,0.025
0.02,0.005,0.08,0.135,0.39,0.1,0,0.055,0.025,0.075
0,0.025,0.01,0.26,0.005,0.18,0.03,0.035,0.035,0.095
0.03,0.015,0.04,0.27,0.01,0.17,0.02,0.02,0.01,0.025
0.005,0.03,0.025,0.325,0.86,0.13,0.005,0.025,0.02,0.02
0.015,0.035,0.045,0.26,0.015,0.105,0.02,0,0.04,0.015
0.02,0.06,0.065,0.265,0.53,0.175,0,0.06,0.025,0.015
0.055,0.02,0.045,0.285,0.22,0.145,0.01,0.01,0.045,0.025
0,0.005,0.04,0.3,0.855,0.155,0.025,0.03,0.025,0.06
0.02,0.045,0.015,0.17,0.9,0.155,0.02,0.055,0.02,0.04
0.005,0.02,0.015,0.14,0.155,0.155,0.025,0.02,0.02,0.055
0.045,0.05,0.04,0.16,0.455,0.15,0.035,0.025,0.02,0.1
0.01,0.02,0.05,0.095,0.195,0.16,0.035,0.045,0.02,0.045
0.055,0.025,0.035,0.115,0.65,0.165,0.01,0.07,0.055,0.05
0.07,0.035,0.075,0.365,0.915,0.195,0.01,0.06,0,0.085
0.045,0.04,0.04,0.305,0.91,0.08,0.045,0.045,0.025,0.07
0.025,0.035,0.015,0.16,0.535,0.12,0.02,0.025,0.02,0.035
0.045,0.025,0.04,0.13,0.305,0.14,0.015,0.05,0.01,0.065
0.015,0.04,0.04,0.1,0.195,0.12,0.04,0.06,0.025,0.015
0.07,0.04,0.07,0.085,0.555,0.1,0.055,0.035,0.03,0.08
0.09,0,0.05,0.25,0.015,0.1,0.04,0.06,0.04,0.095
0.045,0.015,0.06,0.215,0,0.13,0.035,0,0.02,0.055
0.025,0.035,0.07,0.16,0.075,0.165,0.025,0.01,0.03,0.105
0.03,0.015,0.06,0.23,0.46,0.12,0.06,0.02,0.05,0.04
0.045,0.05,0.045,0.26,0.54,0.185,0.055,0.005,0.015,0.09
0.005,0.015,0.065,0.285,0.185,0.155,0.025,0.085,0.015,0.09
0.065,0.04,0.05,0.16,0.295,0.16,0.03,0.02,0.03,0.14
0.04,0.045,0.055,0.165,0.565,0.185,0.01,0.045,0.02,0.055
0.095,0.015,0.055,0.24,0.005,0.21,0.05,0.065,0.02,0.07
0.03,0.045,0.085,0.045,0.005,0.09,0.05,0.115,0.03,0.045
0.08,0.005,0.04,0.045,0.145,0.18,0.03,0.08,0.035,0.1
0.055,0.05,0.03,0.285,0.615,0.135,0.075,0.075,0.015,0.08
0.04,0.055,0.03,0.105,0,0.16,0.075,0.005,0.035,0.02
0.03,0.015,0.075,0.25,0,0.075,0.03,0.09,0.04,0.015
0.045,0.04,0.07,0.125,0,0.17,0.02,0.015,0.03,0.055
0.07,0.025,0.055,0.19,0.04,0.105,0.035,0.035,0.09,0.07
0.015,0.05,0.01,0.225,0.04,0.105,0.035,0.075,0.075,0.15
0.06,0.045,0.035,0.03,0.435,0.18,0.06,0.045,0.015,0.08
0.065,0.06,0.01,0.205,0.145,0.175,0.055,0.045,0.04,0.05
0.015,0.05,0.105,0.44,0.015,0.16,0.015,0.065,0.03,0.08
0.075,0.045,0.11,0.155,0.035,0.2,0.02,0.105,0.04,0.115
0.12,0.035,0.06,0.29,0.375,0.14,0.055,0.155,0.01,0.065
0.085,0.035,0.055,0.12,0.02,0.095,0.07,0.06,0.08,0.07
0.055,0.045,0.05,0.18,0.37,0.115,0.035,0.165,0.07,0.07
0.045,0.01,0.05,0.31,0.48,0.14,0.03,0.125,0.01,0.075
0.085,0.05,0.025,0.27,0.02,0.165,0.115,0.135,0.045,0.115
0.04,0.025,0.065,0.125,0.045,0.225,0.075,0.08,0.09,0.06
0.08,0.03,0.045,0.175,0.27,0.13,0.04,0.17,0.065,0.105
0.085,0.015,0.065,0.25,0.255,0.195,0.095,0.075,0.065,0.015
0.095,0.005,0.04,0.09,0.185,0.17,0.03,0.105,0.09,0.115
0.09,0.05,0.02,0.15,0.005,0.17,0.09,0.08,0.085,0.125
0.075,0.065,0.04,0.38,0.01,0.13,0.06,0.19,0.145,0.075
0.08,0.03,0.09,0.135,0.525,0.14,0.02,0.11,0.085,0.195
0.17,0.065,0.025,0.215,0.61,0.2,0.095,0.06,0.085,0.205
0.1,0.065,0.04,0.295,0.92,0.13,0.08,0.06,0.055,0.15
0.05,0.045,0.055,0.095,0.25,0.11,0.015,0.175,0.04,0.175
0.16,0.1,0.05,0.165,0.1,0.21,0.1,0.2,0.05,0.07
0.065,0.075,0.01,0.2,0.355,0.18,0.045,0.08,0.08,0.1
0.07,0.09,0.06,0.22,0.1,0.16,0.125,0.11,0.15,0.06
0.15,0.04,0.02,0.145,0.575,0.18,0.18,0.145,0.04,0.08
0.25,0.04,0.055,0.32,0.115,0.16,0.095,0.08,0.06,0.235
0.085,0.075,0.015,0.21,0.185,0.17,0.1,0.08,0,0.11
