A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-rg-angstrom,A1-LCD-rg-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-rg-angstrom,FUS-LCD-rg-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-rg-angstrom,EWSR1-LCD-rg-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-rg-angstrom,TIA1-LCD-rg-error-angstrom
0.001039332,6.03E-06,27.85836989,0.439657746,0.00133146,7.40E-06,30.75334003,0.436721347,0.001049194,6.11E-06,39.32558244,0.538456037,0.001100516,8.20E-06,25.27420074,0.400997174
0.001393727,8.42E-06,27.64300715,0.360484768,0.001717001,7.80E-06,31.59287887,0.457484234,0.001330447,4.89E-06,39.09099268,0.568396815,0.001525811,9.04E-06,25.35027806,0.363712734
0.001815906,7.97E-06,28.48065201,0.425994292,0.002129435,7.07E-06,31.75300542,0.474090317,0.001600946,5.86E-06,40.51913959,0.613294902,0.001991464,8.62E-06,25.4600731,0.353320701
0.002223573,8.46E-06,27.69956051,0.401765133,0.002480526,7.55E-06,31.24794752,0.483684792,0.001887802,5.40E-06,40.35560622,0.587947459,0.002471368,1.01E-05,26.245342,0.399887156
0.00263457,9.02E-06,28.68381785,0.400834162,0.002871275,7.95E-06,32.01502733,0.441908012,0.002144737,4.78E-06,41.49872812,0.599373082,0.002940704,9.24E-06,26.5163071,0.399892894
0.003106456,8.39E-06,28.17483664,0.392027138,0.003296236,7.91E-06,31.26777525,0.441534704,0.002418075,5.47E-06,40.66254875,0.600502385,0.003456095,1.04E-05,25.86136038,0.367509222
0.003583424,9.90E-06,28.73915892,0.382761173,0.003674554,7.53E-06,32.19678541,0.436414311,0.002687897,5.57E-06,41.50215169,0.565899554,0.004036278,1.12E-05,26.09999932,0.391851693
0.004016405,7.83E-06,28.57611811,0.378165926,0.004115713,8.53E-06,32.10172957,0.457549787,0.002992927,5.97E-06,41.07861642,0.5855645,0.004599225,1.05E-05,25.99823022,0.380418364
0.004431182,8.63E-06,28.98061999,0.391917248,0.00456859,9.76E-06,32.35181869,0.491185651,0.003326051,6.34E-06,41.06200309,0.553050223,0.005166374,1.19E-05,26.27306363,0.409136933
0.004931237,1.02E-05,29.36642294,0.44152922,0.00504931,9.01E-06,32.90180316,0.471237528,0.003627418,5.62E-06,42.26777194,0.647542365,0.005800104,1.20E-05,26.01699181,0.365273825
0.005456083,9.35E-06,29.5528477,0.428010519,0.005505921,8.21E-06,32.62762196,0.435775834,0.003912336,5.21E-06,41.64773196,0.613282079,0.006396269,1.31E-05,25.55894152,0.310703267
0.005931968,9.43E-06,28.3258677,0.356633755,0.005950121,9.45E-06,32.73730248,0.485438367,0.00420977,6.14E-06,42.62743443,0.614990244,0.007060312,1.28E-05,27.10437825,0.39050843
0.006405447,9.53E-06,29.42259635,0.443272017,0.006441711,9.56E-06,33.06427236,0.48851188,0.004556103,6.62E-06,43.03327822,0.594837824,0.007742934,1.29E-05,25.89238914,0.35724316
0.006877339,9.93E-06,29.09584324,0.419313725,0.006893959,8.57E-06,32.74565088,0.439214783,0.004873366,6.59E-06,42.98835327,0.5694714,0.008391281,1.30E-05,26.17801231,0.341288264
0.007407784,9.88E-06,29.33175832,0.406671355,0.007393449,1.17E-05,32.68544136,0.466157059,0.005208279,6.47E-06,43.15110538,0.574531202,0.009030017,1.19E-05,26.32974192,0.397033366
