S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-k2,S4Yx30-k2-error,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-k2,S9Yx15-k2-error,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-k2,S12Y3x10-k2-error,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-k2,S24Y6x5-k2-error,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-k2,S120Y30-k2-error,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-k2,Sc_S4Yx30-k2-error,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-k2,SSYx50-k2-error,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-k2,YSx75-k2-error,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-k2,Yx150-k2-error,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-k2,YYSx50-k2-error
0.001308211,2.03E-05,0.346139727,0.044921808,0.001011221,6.30E-06,0.33640405,0.012237066,0.001233217,7.01E-06,0.351096463,0.011742785,0.001278849,5.92E-06,0.271749564,0.0107453,0.001093564,2.75E-06,0.565053135,0.013110627,0.001159599,7.07E-06,0.315105326,0.011415627,0.001156439,7.83E-06,0.323891878,0.01177898,0.001120947,6.82E-06,0.342709552,0.012107684,0.001208563,7.11E-06,0.345393961,0.012013007,0.001188029,7.37E-06,0.373485237,0.013194618
0.001579829,2.50E-05,0.320308335,0.042642221,0.00133807,7.04E-06,0.347047862,0.012770472,0.001584469,7.42E-06,0.327261202,0.011731007,0.001609987,6.12E-06,0.302110184,0.011657455,0.00126004,3.33E-06,0.597690492,0.012072916,0.001478508,5.94E-06,0.338643203,0.012506593,0.00156388,7.97E-06,0.359150597,0.012114513,0.001472508,6.92E-06,0.345219158,0.011898636,0.001546405,6.71E-06,0.365903442,0.013380857,0.001588266,8.56E-06,0.357893325,0.013418965
0.001917725,1.77E-05,0.377128584,0.048047429,0.001710479,7.52E-06,0.339853455,0.01204706,0.001962948,7.79E-06,0.350171376,0.012780926,0.001920406,6.86E-06,0.28531211,0.010670697,0.001429714,3.66E-06,0.575609035,0.01292825,0.001807089,6.58E-06,0.326166216,0.011874041,0.001963682,7.86E-06,0.333961234,0.012445451,0.001873329,8.15E-06,0.368844193,0.012548224,0.001911775,7.36E-06,0.350362349,0.012473134,0.002003686,7.80E-06,0.357979482,0.012810836
0.002217258,2.79E-05,0.36628862,0.040294634,0.002121081,8.53E-06,0.360298605,0.012111976,0.002390073,9.75E-06,0.3416121,0.012642251,0.002277419,7.51E-06,0.302347246,0.011797033,0.001632459,4.28E-06,0.593262476,0.012312823,0.002155089,7.42E-06,0.319774044,0.011348044,0.002395865,9.13E-06,0.344477509,0.012319625,0.002299554,8.19E-06,0.338217175,0.011989597,0.0022983,7.41E-06,0.359495774,0.012094207,0.002410577,8.50E-06,0.362257119,0.012387046
0.002635813,3.37E-05,0.355738912,0.047221163,0.002556712,8.33E-06,0.353255822,0.012863191,0.002865141,8.07E-06,0.35785496,0.011184251,0.002660185,7.05E-06,0.288775222,0.010755192,0.0018573,4.52E-06,0.601181074,0.012732213,0.002510662,6.96E-06,0.332966826,0.01212344,0.002819025,8.43E-06,0.358581142,0.011187536,0.002749235,1.01E-05,0.377591054,0.012480325,0.002700426,8.76E-06,0.374503362,0.012540918,0.002834872,8.40E-06,0.349990936,0.012017119
0.003050024,1.84E-05,0.352051408,0.041550995,0.002994555,8.13E-06,0.340636753,0.012818444,0.003284835,7.89E-06,0.357196019,0.012462871,0.003068826,8.88E-06,0.297643364,0.011770527,0.002080762,4.43E-06,0.591019969,0.013452729,0.002865675,7.03E-06,0.328511191,0.011879728,0.003269999,8.83E-06,0.382280861,0.012236718,0.003244179,9.82E-06,0.372324937,0.01345635,0.003165328,9.62E-06,0.366154352,0.01246723,0.003307952,9.10E-06,0.347897129,0.012349679
0.003396438,3.21E-05,0.268531408,0.043786232,0.003404249,8.01E-06,0.355110636,0.012168337,0.003730329,9.39E-06,0.361662725,0.012838056,0.00357711,1.06E-05,0.329661754,0.012235602,0.002327646,4.95E-06,0.580714075,0.012297684,0.003275932,9.25E-06,0.330970885,0.011996907,0.003735167,1.06E-05,0.360302868,0.012422076,0.003757587,9.52E-06,0.353248915,0.012461033,0.003591089,7.40E-06,0.364199123,0.012307646,0.003781363,9.23E-06,0.363477768,0.012566001
0.003910729,3.79E-05,0.294562452,0.040730516,0.003862904,9.96E-06,0.352817534,0.012667424,0.004233009,1.01E-05,0.357797548,0.013462547,0.004101138,1.16E-05,0.325834529,0.011520267,0.002610608,6.26E-06,0.607042565,0.011733545,0.003721437,8.53E-06,0.368683768,0.012510657,0.004233205,9.96E-06,0.346987729,0.012589197,0.00420915,8.96E-06,0.361019461,0.012439766,0.003996964,8.26E-06,0.364505334,0.012174098,0.004258185,9.15E-06,0.377350647,0.013494535
0.004502116,4.23E-05,0.293271685,0.031839544,0.004337848,1.01E-05,0.34209514,0.011803873,0.004764195,1.05E-05,0.367211577,0.012742463,0.004684729,1.16E-05,0.317826458,0.012009207,0.002922481,6.46E-06,0.578314121,0.012480585,0.004148889,8.01E-06,0.360513253,0.012027768,0.004767201,1.07E-05,0.372122546,0.012953407,0.004681472,8.92E-06,0.38683022,0.012697228,0.004400316,7.66E-06,0.338622295,0.012003915,0.004725495,9.42E-06,0.361299726,0.012278494
0.005040244,2.80E-05,0.316153296,0.047458701,0.004853237,1.03E-05,0.370593354,0.012773424,0.005268455,9.96E-06,0.353321459,0.011978591,0.005296724,1.17E-05,0.313618819,0.01161647,0.003262613,5.88E-06,0.581839237,0.012252946,0.00459145,8.87E-06,0.369438264,0.012006544,0.005283923,1.03E-05,0.356462348,0.013321265,0.0051623,1.01E-05,0.369084798,0.012702242,0.004831204,8.61E-06,0.368451902,0.01180262,0.005226598,1.03E-05,0.366068782,0.013180716
