S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-rg-angstrom,S4Yx30-rg-error-angstrom,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-rg-angstrom,S9Yx15-rg-error-angstrom,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-rg-angstrom,S12Y3x10-rg-error-angstrom,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-rg-angstrom,S24Y6x5-rg-error-angstrom,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-rg-angstrom,S120Y30-rg-error-angstrom,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-rg-angstrom,Sc_S4Yx30-rg-error-angstrom,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-rg-angstrom,SSYx50-rg-error-angstrom,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-rg-angstrom,YSx75-rg-error-angstrom,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-rg-angstrom,Yx150-rg-error-angstrom,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-rg-angstrom,YYSx50-rg-error-angstrom
0.001218335,7.11E-06,30.01516139,0.469924649,0.001011221,6.30E-06,28.031927,0.408698315,0.001233217,7.01E-06,28.72812485,0.397781768,0.001278849,5.92E-06,27.63366632,0.354648811,0.001093564,2.75E-06,43.93721059,0.619657364,0.001159599,7.07E-06,28.50808976,0.411387376,0.001156439,7.83E-06,29.38331308,0.479593423,0.001120947,6.82E-06,30.92564129,0.47710488,0.001208563,7.11E-06,34.72950855,0.500364248,0.001188029,7.37E-06,33.30037005,0.53315126
0.001617138,9.10E-06,29.69310246,0.474456707,0.00133807,7.04E-06,28.96830767,0.434744851,0.001584469,7.42E-06,28.44347426,0.383295942,0.001609987,6.12E-06,28.32831908,0.390970566,0.00126004,3.33E-06,44.73491177,0.56825046,0.001478508,5.94E-06,29.41422586,0.43200667,0.00156388,7.97E-06,30.15551728,0.46281089,0.001472508,6.92E-06,30.52594482,0.424099039,0.001546405,6.71E-06,36.03213781,0.591322813,0.001588266,8.56E-06,33.25042348,0.521766084
0.002038912,7.46E-06,30.22415006,0.467918667,0.001710479,7.52E-06,28.87948475,0.407091158,0.001962948,7.79E-06,29.68797346,0.454602775,0.001920406,6.86E-06,27.99271988,0.396440706,0.001429714,3.66E-06,44.37450132,0.690843714,0.001807089,6.58E-06,29.05262015,0.424614165,0.001963682,7.86E-06,30.31131305,0.464093731,0.001873329,8.15E-06,31.69618072,0.4977834,0.001911775,7.36E-06,35.1424351,0.508011766,0.002003686,7.80E-06,32.4872155,0.510768977
0.002442739,8.08E-06,29.92345742,0.463071581,0.002121081,8.53E-06,28.72960728,0.454951349,0.002390073,9.75E-06,29.50589999,0.40654932,0.002277419,7.51E-06,29.03628139,0.391721756,0.001632459,4.28E-06,44.96482838,0.597785748,0.002155089,7.42E-06,28.87335071,0.384990384,0.002395865,9.13E-06,30.6578116,0.477350361,0.002299554,8.19E-06,30.68075828,0.454104985,0.0022983,7.41E-06,35.49943237,0.52960436,0.002410577,8.50E-06,33.26049551,0.492228665
0.002871722,8.31E-06,29.66861932,0.453993095,0.002556712,8.33E-06,28.89660383,0.407162085,0.002865141,8.07E-06,29.60071362,0.387180595,0.002660185,7.05E-06,28.60710149,0.424200217,0.0018573,4.52E-06,44.72198739,0.634608736,0.002510662,6.96E-06,29.53878888,0.396280906,0.002819025,8.43E-06,31.01651806,0.447744862,0.002749235,1.01E-05,31.90445948,0.474305581,0.002700426,8.76E-06,36.04025877,0.551598744,0.002834872,8.40E-06,32.37680631,0.460781421
0.003333007,9.66E-06,30.68362509,0.495835572,0.002994555,8.13E-06,29.09509836,0.453303311,0.003284835,7.89E-06,29.61860396,0.446071398,0.003068826,8.88E-06,29.34816467,0.405954806,0.002080762,4.43E-06,45.24572065,0.653710503,0.002865675,7.03E-06,29.39828534,0.437716102,0.003269999,8.83E-06,31.69702927,0.474978103,0.003244179,9.82E-06,31.52333193,0.503376786,0.003165328,9.62E-06,36.94501628,0.547580059,0.003307952,9.10E-06,32.53523945,0.484130609
0.003835224,1.00E-05,30.32129542,0.47245779,0.003404249,8.01E-06,29.49353129,0.458006183,0.003730329,9.39E-06,29.68752855,0.495557096,0.00357711,1.06E-05,29.93614671,0.410179884,0.002327646,4.95E-06,45.49692699,0.614996154,0.003275932,9.25E-06,29.73770359,0.419956726,0.003735167,1.06E-05,30.60281869,0.519644584,0.003757587,9.52E-06,31.96292886,0.449909035,0.003591089,7.40E-06,36.12113227,0.627308342,0.003781363,9.23E-06,33.72832774,0.513086618
0.004349028,9.71E-06,30.04700373,0.466953769,0.003862904,9.96E-06,29.34757286,0.456229468,0.004233009,1.01E-05,30.23093848,0.49140075,0.004101138,1.16E-05,29.62360792,0.443825103,0.002610608,6.26E-06,46.02168824,0.609472136,0.003721437,8.53E-06,30.03216354,0.442605192,0.004233205,9.96E-06,30.07788238,0.418058597,0.00420915,8.96E-06,31.41634735,0.472021519,0.003996964,8.26E-06,36.54035416,0.567054351,0.004258185,9.15E-06,33.20114941,0.558866993
0.004842333,9.24E-06,29.23022724,0.415646302,0.004337848,1.01E-05,29.41813796,0.398238016,0.004764195,1.05E-05,30.12417671,0.481987248,0.004684729,1.16E-05,30.06832085,0.450993693,0.002922481,6.46E-06,46.17520608,0.681875935,0.004148889,8.01E-06,30.63479329,0.439377851,0.004767201,1.07E-05,31.63038287,0.473858078,0.004681472,8.92E-06,33.02052262,0.455308512,0.004400316,7.66E-06,35.66958639,0.576900871,0.004725495,9.42E-06,34.04566428,0.537303174
0.005346796,1.09E-05,29.99512674,0.46235801,0.004853237,1.03E-05,29.80855895,0.455333848,0.005268455,9.96E-06,30.09314806,0.432321901,0.005296724,1.17E-05,29.852884,0.417091935,0.003262613,5.88E-06,45.68174958,0.595963179,0.00459145,8.87E-06,30.70794908,0.440714434,0.005283923,1.03E-05,31.40621832,0.547334524,0.0051623,1.01E-05,32.97563633,0.519093669,0.004831204,8.61E-06,37.3099577,0.544091086,0.005226598,1.03E-05,33.7507616,0.544223876
