A1-LCD-hub-displacement-angstrom,FUS-LCD-hub-displacement-angstrom,EWSR1-LCD-hub-displacement-angstrom,TIA1-LCD-hub-displacement-angstrom
33.70241712,33.14889071,16.89759838,27.33120252
26.8227992,33.82563931,18.07218678,32.60885945
25.80821512,47.20486572,14.24181518,25.5280219
21.20744121,30.1750416,19.43779746,21.90932834
28.36234045,33.81207748,16.41324051,10.56189885
37.12633458,25.07406335,28.89658919,31.88287878
44.58702838,21.75181159,18.55637381,21.08987619
28.7861638,33.13552038,26.8083184,30.94395777
51.01379327,15.81585772,30.46453235,62.32925322
14.16437938,14.95819848,6.159795128,31.13473024
18.64528992,53.82792708,14.45905304,43.66892278
22.83088271,11.82905299,7.965493629,19.8452931
20.61952167,26.47955322,27.46980067,40.34239942
29.10499877,37.43052173,25.9889763,19.16924949
11.47733617,10.59561353,24.94484614,30.32163529
23.59455967,16.25187955,20.23119033,22.45998164
29.28509496,31.55719921,20.92288789,14.16468244
39.91017429,20.17357303,30.59438165,22.94064819
20.7881055,33.51891567,11.26412681,34.16912454
42.14672532,11.80645767,14.21959299,33.05939409
40.47670382,28.71231556,21.35185993,50.46054551
19.12509988,15.06191324,18.59831604,48.66189834
35.60614258,16.7678782,16.22417315,38.35180994
32.74769834,36.89458807,23.65342237,44.15423323
33.2199165,44.99157568,17.01850088,39.09832759
20.61743879,14.56587758,17.55459031,31.01055584
28.92024369,19.94925673,18.43032685,30.97454494
32.91141859,40.18775982,12.77130756,30.86308702
22.38099157,22.94650682,21.1429075,31.3522551
22.06333805,29.83468484,22.37533775,25.15473106
20.43817296,33.87885218,11.03479797,28.55371164
30.75189181,16.58731605,19.90588856,61.57696751
33.53611579,34.06294268,17.81097844,51.33198259
22.26169865,30.44799835,28.76166937,44.04461221
11.89896169,28.16752288,11.35413847,18.47208508
31.96315836,21.99709032,24.51183476,28.02521581
21.33032378,23.0094664,21.51128528,32.06160718
20.66314548,29.12285522,12.60339618,29.9301163
24.93988273,12.4611049,18.67046099,27.18640447
26.42420105,24.40738175,20.44259994,40.65330104
18.99048297,17.02020115,9.34034124,24.63271004
19.87645586,22.25685972,13.49562712,20.73150422
24.35354688,34.59373067,15.40034302,17.36144909
13.7853419,25.043426,26.5889237,21.27581188
27.39042952,12.96440012,13.56120908,53.5084425
35.79911641,24.91260401,12.2340798,29.0728334
25.56540802,25.97059654,22.90045143,29.37669294
15.70037534,11.28804106,31.12834335,18.41234729
24.87941281,7.790327798,28.19705541,26.16821889
22.29849547,15.89770398,10.32352665,47.68008062
18.76831163,21.92348984,20.96425255,12.57373917
23.64214129,15.97435663,17.92772989,31.23271788
22.18103925,30.10106906,16.90164822,25.78111906
11.32263082,21.46086519,16.3412462,34.23700455
12.30819288,34.42459216,22.73044206,24.99327922
24.97548903,28.41224114,15.43965314,43.774231
30.27359845,37.60008564,17.80617046,20.25173528
13.25231948,21.20557098,16.94383986,35.06175679
24.3686825,24.90186407,13.36455536,25.00940747
17.12917014,35.45850209,32.87796549,22.59180548
46.64408522,22.81424102,9.095437126,22.45322536
23.84005231,16.91507917,9.49698287,28.05217646
26.86047844,40.3815834,15.86162666,27.93044949
21.32689468,19.70209755,19.81948692,35.93321691
16.8217282,29.53216249,17.12381758,34.07439624
17.99566288,14.76321412,15.99286334,28.5691945
