A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-displacement-angstrom,A1-LCD-displacement-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-displacement-angstrom,FUS-LCD-displacement-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-displacement-angstrom,EWSR1-LCD-displacement-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-displacement-angstrom,TIA1-LCD-displacement-error-angstrom
0.001060646,8.05E-06,37.31347049,1.080099641,0.001196519,8.83E-06,36.42714915,0.988480301,0.001183102,6.72E-06,29.31003222,0.729998569,0.001111996,7.62E-06,37.6835497,1.006730034
0.001522028,9.87E-06,38.0829108,1.076915717,0.001667392,9.64E-06,34.95112639,0.829264132,0.001521845,7.51E-06,30.24917506,0.778693975,0.001535989,9.31E-06,37.44380613,0.923219432
0.002038801,1.04E-05,37.51770794,1.460759023,0.002189345,1.08E-05,35.78203698,1.040893726,0.001898614,6.67E-06,29.00161613,0.72837726,0.002032903,9.66E-06,37.72104076,0.925753927
0.002672589,1.43E-05,35.72858086,1.039663932,0.002720012,9.80E-06,34.78274972,0.919169592,0.002271543,7.74E-06,27.83488349,0.714711353,0.002505873,8.80E-06,39.222165,1.071072322
0.003374532,1.34E-05,35.3803031,0.97898835,0.003256082,1.08E-05,36.61816935,1.002851503,0.002692562,8.25E-06,27.28248759,0.583584236,0.002978281,1.02E-05,36.11583663,1.041495205
0.004061854,1.34E-05,36.51660625,1.205268484,0.003886394,1.42E-05,33.87378727,0.815725292,0.00311279,8.13E-06,28.11226244,0.677243714,0.003613097,1.32E-05,37.85942396,0.979644761
0.004817632,1.45E-05,34.61399727,0.9630873,0.004529841,1.16E-05,34.23705864,0.878715176,0.003489874,7.30E-06,27.28079733,0.631389226,0.004236295,1.14E-05,37.42857734,1.051112855
0.005552592,1.60E-05,35.65782607,1.168170516,0.005195044,1.36E-05,33.90028483,0.928595984,0.003869683,7.46E-06,27.71941409,0.689483538,0.004812113,1.27E-05,37.64726727,1.04451313
0.006309877,1.46E-05,33.12698093,1.134374493,0.005885906,1.33E-05,30.96136272,0.92445611,0.004298303,8.38E-06,26.0396905,0.703029932,0.005501687,1.34E-05,36.22679126,0.94764619
0.007075736,1.54E-05,35.49362415,1.142170773,0.006597629,1.49E-05,31.71175117,0.883760748,0.004724104,8.29E-06,26.33736644,0.653817909,0.006297537,1.77E-05,34.23969562,0.959998469
