S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-displacement-angstrom,S4Yx30-displacement-error-angstrom,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-displacement-angstrom,S9Yx15-displacement-error-angstrom,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-displacement-angstrom,S12Y3x10-displacement-error-angstrom,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-displacement-angstrom,S24Y6x5-displacement-error-angstrom,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-displacement-angstrom,S120Y30-displacement-error-angstrom,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-displacement-angstrom,Sc_S4Yx30-displacement-error-angstrom,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-displacement-angstrom,SSYx50-displacement-error-angstrom,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-displacement-angstrom,YSx75-displacement-error-angstrom,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-displacement-angstrom,Yx150-displacement-error-angstrom,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-displacement-angstrom,YYSx50-displacement-error-angstrom
0.001218335,7.11E-06,22.40948035,0.583182304,0.001011221,6.30E-06,21.76342391,0.526131582,0.001233217,7.01E-06,23.48181329,0.585810509,0.001278849,5.92E-06,18.25107151,0.423689191,0.001093564,2.75E-06,18.87818392,0.436504464,0.001159599,7.07E-06,21.2830485,0.473033857,0.001156439,7.83E-06,25.34580163,0.70224848,0.001120947,6.82E-06,25.81856401,0.675935971,0.001208563,7.11E-06,29.36522911,0.740722712,0.001188029,7.37E-06,28.53065199,0.658381325
0.001617138,9.10E-06,23.34555419,0.592334402,0.00133807,7.04E-06,19.88333472,0.532866071,0.001584469,7.42E-06,22.33016602,0.496727729,0.001609987,6.12E-06,17.40408176,0.379822457,0.00126004,3.33E-06,19.2019167,0.474895237,0.001478508,5.94E-06,20.74624449,0.509248708,0.00156388,7.97E-06,24.83895984,0.707743772,0.001472508,6.92E-06,26.99302218,0.687610968,0.001546405,6.71E-06,27.26454967,0.702796138,0.001588266,8.56E-06,26.974559,0.67665544
0.002038912,7.46E-06,22.21922012,0.535400932,0.001710479,7.52E-06,20.40747526,0.497221327,0.001962948,7.79E-06,22.36595467,0.546837352,0.001920406,6.86E-06,18.04538942,0.414799059,0.001429714,3.66E-06,18.68919831,0.492975815,0.001807089,6.58E-06,20.0728785,0.485669982,0.001963682,7.86E-06,23.17454819,0.61820124,0.001873329,8.15E-06,25.00139479,0.591372848,0.001911775,7.36E-06,27.61992162,0.743089168,0.002003686,7.80E-06,25.64235698,0.643657478
0.002442739,8.08E-06,21.86404447,0.556506525,0.002121081,8.53E-06,19.94724058,0.500100301,0.002390073,9.75E-06,23.40579692,0.559412131,0.002277419,7.51E-06,17.38846881,0.425565604,0.001632459,4.28E-06,18.64110447,0.465884629,0.002155089,7.42E-06,19.44816481,0.475694719,0.002395865,9.13E-06,21.87146233,0.524639167,0.002299554,8.19E-06,24.78814722,0.687796597,0.0022983,7.41E-06,26.9051202,0.669731511,0.002410577,8.50E-06,26.42555757,0.66654487
0.002871722,8.31E-06,20.86850307,0.599971981,0.002556712,8.33E-06,20.28250029,0.446210074,0.002865141,8.07E-06,23.90652133,0.588458846,0.002660185,7.05E-06,18.15924475,0.415830593,0.0018573,4.52E-06,18.90378131,0.50463585,0.002510662,6.96E-06,19.11408497,0.445573688,0.002819025,8.43E-06,23.36205193,0.612288537,0.002749235,1.01E-05,24.77321377,0.599605413,0.002700426,8.76E-06,26.69913609,0.67775068,0.002834872,8.40E-06,27.04537752,0.657427713
0.003333007,9.66E-06,21.14444407,0.544865966,0.002994555,8.13E-06,19.59929579,0.494788914,0.003284835,7.89E-06,23.37454413,0.604461121,0.003068826,8.88E-06,17.89618129,0.377753093,0.002080762,4.43E-06,18.55466396,0.465638349,0.002865675,7.03E-06,19.07737321,0.407772568,0.003269999,8.83E-06,22.40430776,0.512256748,0.003244179,9.82E-06,23.73705346,0.594939728,0.003165328,9.62E-06,25.5759983,0.603959181,0.003307952,9.10E-06,24.82078457,0.68233004
0.003835224,1.00E-05,21.7723385,0.492515464,0.003404249,8.01E-06,19.45777926,0.487692405,0.003730329,9.39E-06,21.9898335,0.607161156,0.00357711,1.06E-05,17.90612263,0.393836718,0.002327646,4.95E-06,18.5534418,0.428690428,0.003275932,9.25E-06,18.60552678,0.448368655,0.003735167,1.06E-05,23.32181907,0.557234358,0.003757587,9.52E-06,24.16400858,0.647575808,0.003591089,7.40E-06,25.1611729,0.706188278,0.003781363,9.23E-06,23.62225177,0.605092766
0.004349028,9.71E-06,21.58454903,0.543308003,0.003862904,9.96E-06,19.05057585,0.503180342,0.004233009,1.01E-05,21.00745626,0.517725975,0.004101138,1.16E-05,17.6434283,0.464117019,0.002610608,6.26E-06,18.10722409,0.395687301,0.003721437,8.53E-06,18.54573886,0.416908626,0.004233205,9.96E-06,21.61654975,0.567866329,0.00420915,8.96E-06,23.19667407,0.574129138,0.003996964,8.26E-06,24.68984628,0.633403898,0.004258185,9.15E-06,24.29310929,0.670588359
0.004842333,9.24E-06,20.09584064,0.501195057,0.004337848,1.01E-05,17.7792833,0.500561287,0.004764195,1.05E-05,21.33575236,0.546747582,0.004684729,1.16E-05,17.15677166,0.379560963,0.002922481,6.46E-06,19.32860312,0.454109023,0.004148889,8.01E-06,19.50855839,0.457025063,0.004767201,1.07E-05,20.69607168,0.522018621,0.004681472,8.92E-06,22.970843,0.549414845,0.004400316,7.66E-06,25.44718386,0.678855427,0.004725495,9.42E-06,25.28718964,0.631094481
0.005346796,1.09E-05,20.78469239,0.547526106,0.004853237,1.03E-05,18.03349113,0.466796776,0.005268455,9.96E-06,21.05929647,0.508109155,0.005296724,1.17E-05,17.11240937,0.440300003,0.003262613,5.88E-06,18.48422501,0.454788036,0.00459145,8.87E-06,17.98426407,0.386876279,0.005283923,1.03E-05,20.19690668,0.49474605,0.0051623,1.01E-05,23.1945418,0.547055614,0.004831204,8.61E-06,25.54013794,0.602324773,0.005226598,1.03E-05,24.12068184,0.62680363
